match_key,image,sample_id,sample_seed,randomization_seed,sample_index,random_brightness,random_contrast,final_score_direct,final_score_exploratory,absolute_improvement_direct,absolute_improvement_exploratory,relative_improvement_direct,relative_improvement_exploratory,randomized_score_direct,randomized_score_exploratory,filter_adjustments_direct,filter_adjustments_exploratory,vlm_snapshots_direct,vlm_snapshots_exploratory,score_delta_exploratory_minus_direct,exploratory_better,improvement_delta_exploratory_minus_direct
1008363342|2213117586|3281|158.0|214.0,Tile_r052_c005.tiff,/unlabeled-assets/train/Acquisitions_first_run/Tile_r052_c005.tiff,1008363342,2213117586,3281,158.0,214.0,0.022204,0.092698,3.72933,3.658836,99.4090677226969,97.52953205542053,3.751534,3.751534,4.0,9.0,4.0,8.0,0.070494,False,-0.07049400000000006
1055295513|3713711265|17661|101.0|265.0,1285.tiff,/unlabeled-assets/train/grids/1285.tiff,1055295513,3713711265,17661,101.0,265.0,0.497267,0.583649,4.229529,4.143147,89.47991473293962,87.6511668157458,4.726796,4.726796,4.0,9.0,4.0,8.0,0.08638199999999996,False,-0.0863820000000004
1073246559|2488294163|2056|76.0|107.0,Tile_r032_c040.tiff,/unlabeled-assets/train/Acquisitions_first_run/Tile_r032_c040.tiff,1073246559,2488294163,2056,76.0,107.0,0.022356,0.074206,0.098251,0.046401000000000005,81.4618812340909,38.47144564577512,0.120607,0.120607,4.0,8.0,4.0,8.0,0.05184999999999999,False,-0.05185
1094219856|3793599127|9435|234.0|229.0,Tile_r007_c011.tiff,/unlabeled-assets/train/Acquisitions_third_run/Tile_r007_c011.tiff,1094219856,3793599127,9435,234.0,229.0,0.079893,0.148232,4.861357,4.793018,98.38157095876548,97.00005565393371,4.94125,4.94125,5.0,9.0,5.0,8.0,0.068339,False,-0.06833899999999993
124708988|2476543472|76|119.0|151.0,Tile_r001_c013.tiff,/unlabeled-assets/train/Acquisitions_first_run/Tile_r001_c013.tiff,124708988,2476543472,76,119.0,151.0,0.188049,0.484068,0.827155,0.531136,81.4783639150358,52.31907738740195,1.015204,1.015204,4.0,9.0,4.0,8.0,0.29601900000000003,False,-0.2960189999999999
1261292310|1057521844|8140|156.0|162.0,Tile_r055_c007.tiff,/unlabeled-assets/train/Acquisitions_second_run/Tile_r055_c007.tiff,1261292310,1057521844,8140,156.0,162.0,0.245397,0.261333,0.916074,0.9001379999999999,78.87093942509111,77.49991282606281,1.161471,1.161471,6.0,8.0,6.0,8.0,0.015935999999999978,False,-0.015936000000000172
1370890018|833920235|19214|140.0|143.0,2683.tiff,/unlabeled-assets/train/grids/2683.tiff,1370890018,833920235,19214,140.0,143.0,0.597376,0.517752,3.567087,3.646711,85.65769471117885,87.56868831707713,4.164463,4.164463,4.0,7.0,4.0,7.0,-0.07962400000000003,True,0.07962399999999992
1421867488|3978432938|1046|258.0|133.0,Tile_r016_c038.tiff,/unlabeled-assets/train/Acquisitions_first_run/Tile_r016_c038.tiff,1421867488,3978432938,1046,258.0,133.0,0.174262,0.12251,0.976039,1.0277910000000001,84.85037388040173,89.34987205522728,1.150301,1.150301,4.0,9.0,4.0,8.0,-0.051752000000000006,True,0.05175200000000013
146167971|3547076584|12100|29.0|98.0,Tile_r043_c048.tiff,/unlabeled-assets/train/Acquisitions_third_run/Tile_r043_c048.tiff,146167971,3547076584,12100,29.0,98.0,0.030389,0.171534,0.197045,0.055900000000000005,86.63916072355056,24.579279527247465,0.227434,0.227434,4.0,9.0,4.0,8.0,0.141145,False,-0.141145
1666924073|965400356|14149|148.0|102.0,Region007_y26_x10_fw120um.tiff,/unlabeled-assets/train/Combined_New_Scans_Andrea/Region007_y26_x10_fw120um.tiff,1666924073,965400356,14149,148.0,102.0,2.079411,2.045061,0.3566579999999999,0.3910079999999999,14.64035915238854,16.050388443430784,2.436069,2.436069,5.0,14.0,5.0,13.0,-0.03434999999999988,True,0.03434999999999999
