dataset,dataset_label,sample_id,variant,variant_label,absolute_error,relative_error,signed_error,predicted_count,gt_count,gt_value,inside_gt_interval,within_1,within_10_pct
grid_scan_paper,Grid Scan Paper,Tile_r036_c026,E1_raw_vlm,VLM,1,0.1667,-1,5,6,6.0,False,True,False
grid_scan_paper,Grid Scan Paper,Tile_r036_c027,E1_raw_vlm,VLM,0,0.0,0,1,1,1.0,True,True,True
grid_scan_paper,Grid Scan Paper,Tile_r036_c031,E1_raw_vlm,VLM,2,2.0,2,3,1,1.0,False,False,False
grid_scan_paper,Grid Scan Paper,Tile_r036_c040,E1_raw_vlm,VLM,0,0.0,0,2,2,2.0,True,True,True
grid_scan_paper,Grid Scan Paper,Tile_r036_c041,E1_raw_vlm,VLM,2,0.5,-2,2,4,4.0,False,False,False
grid_scan_paper,Grid Scan Paper,Tile_r036_c042,E1_raw_vlm,VLM,0,0.0,0,1,1,1.0,True,True,True
grid_scan_paper,Grid Scan Paper,Tile_r036_c044,E1_raw_vlm,VLM,2,0.2857,-2,5,7,7.0,False,False,False
grid_scan_paper,Grid Scan Paper,Tile_r036_c047,E1_raw_vlm,VLM,0,0.0,0,2,2,2.0,True,True,True
grid_scan_paper,Grid Scan Paper,Tile_r036_c048,E1_raw_vlm,VLM,0,0.0,0,1,1,1.0,True,True,True
grid_scan_paper,Grid Scan Paper,Tile_r036_c049,E1_raw_vlm,VLM,1,0.2,1,6,5,5.0,False,True,False
grid_scan_paper,Grid Scan Paper,Tile_r037_c026,E1_raw_vlm,VLM,1,0.3333,-1,2,3,3.0,False,True,False
grid_scan_paper,Grid Scan Paper,Tile_r037_c028,E1_raw_vlm,VLM,0,0.0,0,3,3,3.0,True,True,True
grid_scan_paper,Grid Scan Paper,Tile_r037_c032,E1_raw_vlm,VLM,0,0.0,0,1,1,1.0,True,True,True
grid_scan_paper,Grid Scan Paper,Tile_r037_c037,E1_raw_vlm,VLM,4,0.5714,-4,3,7,7.0,False,False,False
grid_scan_paper,Grid Scan Paper,Tile_r037_c044,E1_raw_vlm,VLM,1,0.0556,1,19,18,18.0,False,True,True
grid_scan_paper,Grid Scan Paper,Tile_r037_c046,E1_raw_vlm,VLM,5,0.625,-5,3,8,8.0,False,False,False
grid_scan_paper,Grid Scan Paper,Tile_r037_c047,E1_raw_vlm,VLM,3,0.375,-3,5,8,8.0,False,False,False
grid_scan_paper,Grid Scan Paper,Tile_r037_c048,E1_raw_vlm,VLM,0,0.0,0,6,6,6.0,True,True,True
grid_scan_paper,Grid Scan Paper,Tile_r037_c049,E1_raw_vlm,VLM,1,0.2,-1,4,5,5.0,False,True,False
grid_scan_paper,Grid Scan Paper,Tile_r038_c028,E1_raw_vlm,VLM,0,0.0,0,1,1,1.0,True,True,True
