dataset,dataset_label,variant,variant_label,n,mae,median_abs_error,exact_pct,inside_interval_pct,within_1_pct,within_2_pct,within_3_pct,within_10_pct,normalized_mae_pct,mean_signed_error,median_signed_error
grid_scan_paper,Grid Scan Paper,E1_raw_vlm,VLM,163,1.7852760736196318,1.0,44.171779141104295,44.171779141104295,65.03067484662577,79.75460122699386,85.2760736196319,44.785276073619634,35.96282722049593,1.5276073619631902,0.0
grid_scan_paper,Grid Scan Paper,E2_sam2_deterministic,SAM2 mask,163,2.8098159509202456,1.0,19.018404907975462,19.018404907975462,50.306748466257666,67.48466257668711,77.91411042944786,20.245398773006134,81.18465549447144,0.31901840490797545,0.0
grid_scan_paper,Grid Scan Paper,E3_imggen_deterministic,ImgGen mask,163,1.361963190184049,1.0,44.785276073619634,44.785276073619634,69.93865030674846,79.75460122699386,90.1840490797546,45.39877300613497,31.155507750599774,0.9570552147239264,0.0
grid_scan_paper,Grid Scan Paper,E4_sam2_overlay_vlm,SAM2 overlay,163,4.9447852760736195,3.0,11.65644171779141,11.65644171779141,30.061349693251532,46.012269938650306,59.50920245398773,12.269938650306749,125.16534760399792,4.785276073619632,3.0
grid_scan_paper,Grid Scan Paper,E5_imggen_overlay_vlm,ImgGen overlay,163,3.7116564417177913,1.0,31.901840490797547,31.901840490797547,58.282208588957054,71.16564417177914,73.61963190184049,31.901840490797547,115.54223213732416,3.4907975460122698,1.0
grid_scan_paper,Grid Scan Paper,E6_sam3_deterministic,SAM3 mask,163,1.7730061349693251,1.0,25.153374233128833,25.153374233128833,57.668711656441715,72.39263803680981,83.43558282208589,26.993865030674847,51.275263591214504,-0.50920245398773,-1.0
grid_scan_paper,Grid Scan Paper,E7_sam3_overlay_vlm,SAM3 overlay,163,2.0061349693251533,1.0,34.96932515337423,34.96932515337423,61.963190184049076,72.39263803680981,79.75460122699386,34.96932515337423,41.61078355863632,0.8895705521472392,0.0
validation_unc_luca,Rettenberger Uncertainty,E1_raw_vlm,VLM,91,15.868131868131869,8.0,1.098901098901099,1.098901098901099,6.593406593406594,14.285714285714285,19.78021978021978,2.197802197802198,48.74805355835877,-15.868131868131869,-8.0
validation_unc_luca,Rettenberger Uncertainty,E2_sam2_deterministic,SAM2 mask,91,9.362637362637363,4.0,32.967032967032964,32.967032967032964,36.26373626373626,45.05494505494506,49.45054945054945,39.56043956043956,80.71565960202624,-1.945054945054945,0.0
validation_unc_luca,Rettenberger Uncertainty,E3_imggen_deterministic,ImgGen mask,91,22.703296703296704,2.0,39.56043956043956,39.56043956043956,46.15384615384615,50.54945054945055,54.94505494505495,45.05494505494506,216.7242719366195,24.46153846153846,7.0
validation_unc_luca,Rettenberger Uncertainty,E4_sam2_overlay_vlm,SAM2 overlay,91,8.571428571428571,3.0,38.46153846153847,38.46153846153847,42.857142857142854,47.25274725274725,51.64835164835166,42.857142857142854,47.784176106127696,-1.2307692307692308,1.0
validation_unc_luca,Rettenberger Uncertainty,E5_imggen_overlay_vlm,ImgGen overlay,91,19.813186813186814,3.0,37.362637362637365,37.362637362637365,39.56043956043956,47.25274725274725,50.54945054945055,42.857142857142854,165.63548310430622,23.0989010989011,9.0
validation_unc_luca,Rettenberger Uncertainty,E6_sam3_deterministic,SAM3 mask,91,8.714285714285714,5.0,25.274725274725274,25.274725274725274,32.967032967032964,37.362637362637365,41.75824175824176,30.76923076923077,49.851309751115416,-0.45054945054945056,-1.0
validation_unc_luca,Rettenberger Uncertainty,E7_sam3_overlay_vlm,SAM3 overlay,91,9.12087912087912,5.0,27.472527472527474,27.472527472527474,32.967032967032964,35.16483516483517,37.362637362637365,32.967032967032964,61.23554288856606,0.8901098901098901,-1.0
validation_andrea_grid_scan_mirror,TFS Mirror,E1_raw_vlm,VLM,19,4.684210526315789,4.0,0.0,0.0,26.31578947368421,36.84210526315789,47.368421052631575,0.0,100.0,-4.684210526315789,-4.0
validation_andrea_grid_scan_mirror,TFS Mirror,E2_sam2_deterministic,SAM2 mask,19,2.263157894736842,2.0,10.526315789473683,10.526315789473683,31.57894736842105,63.1578947368421,73.68421052631578,10.526315789473683,80.74770258980784,-0.7894736842105263,-1.0
validation_andrea_grid_scan_mirror,TFS Mirror,E3_imggen_deterministic,ImgGen mask,19,1.2105263157894737,1.0,31.57894736842105,31.57894736842105,73.68421052631578,84.21052631578947,89.47368421052632,31.57894736842105,38.540100250626566,-0.5789473684210527,0.0
validation_andrea_grid_scan_mirror,TFS Mirror,E4_sam2_overlay_vlm,SAM2 overlay,19,1.8421052631578947,2.0,15.789473684210526,15.789473684210526,36.84210526315789,78.94736842105263,94.73684210526315,15.789473684210526,66.54344193817879,0.8947368421052632,1.0
validation_andrea_grid_scan_mirror,TFS Mirror,E5_imggen_overlay_vlm,ImgGen overlay,19,2.9473684210526314,1.0,15.789473684210526,15.789473684210526,63.1578947368421,73.68421052631578,84.21052631578947,15.789473684210526,196.04845446950708,1.1578947368421053,0.0
validation_andrea_grid_scan_mirror,TFS Mirror,E6_sam3_deterministic,SAM3 mask,19,2.210526315789474,1.0,5.263157894736842,5.263157894736842,52.63157894736842,63.1578947368421,84.21052631578947,10.526315789473683,64.80367585630744,-2.0,-1.0
validation_andrea_grid_scan_mirror,TFS Mirror,E7_sam3_overlay_vlm,SAM3 overlay,19,2.4210526315789473,2.0,5.263157894736842,5.263157894736842,47.368421052631575,57.89473684210527,73.68421052631578,5.263157894736842,66.33876357560568,-2.1052631578947367,-2.0
