batch_id,source,variant,variant_label,model,n_runs_requested,n_runs_completed,grid_level,subdivision,visual_condition,visual_condition_label,n_paths,n_parsed,n_parsing_failures,mean_precision,var_precision,sample_var_precision,std_precision,min_precision,max_precision,mean_recall,var_recall,sample_var_recall,std_recall,min_recall,max_recall,mean_f1,var_f1,sample_var_f1,std_f1,min_f1,max_f1,mean_tile_accuracy,var_tile_accuracy,sample_var_tile_accuracy,std_tile_accuracy,min_tile_accuracy,max_tile_accuracy,mean_missed_tile_rate,var_missed_tile_rate,sample_var_missed_tile_rate,std_missed_tile_rate,min_missed_tile_rate,max_missed_tile_rate,mean_extra_tile_rate,var_extra_tile_rate,sample_var_extra_tile_rate,std_extra_tile_rate,min_extra_tile_rate,max_extra_tile_rate,exact_match_rate,var_exact_match,sample_var_exact_match,std_exact_match
case3_batch_20260618_104034,/home/nielsbroekhuizen/projects/my-vscode-project/outputs/case_study_3/runs/case3_batch_20260618_104034/batch_manifest.json,L0_path_only,L0: No annotations,gpt-5.5,3,3,0.0,1.0,path_only,No annotations,3,3,0,0.4444,0.0062,0.0093,0.0787,0.3333,0.5,0.3333,0.0089,0.0133,0.0943,0.2,0.4,0.3796,0.0084,0.0126,0.0917,0.25,0.4444,0.3333,0.0089,0.0133,0.0943,0.2,0.4,0.6667,0.0089,0.0133,0.0943,0.6,0.8,0.5556,0.0062,0.0093,0.0787,0.5,0.6667,0.0,0.0,0.0,0.0
case3_batch_20260618_104034,/home/nielsbroekhuizen/projects/my-vscode-project/outputs/case_study_3/runs/case3_batch_20260618_104034/batch_manifest.json,L0_grid,L0: Grid,gpt-5.5,3,3,0.0,1.0,grid,Grid,3,3,0,1.0,0.0,0.0,0.0,1.0,1.0,0.8,0.0,0.0,0.0,0.8,0.8,0.8889,0.0,0.0,0.0,0.8889,0.8889,0.8,0.0,0.0,0.0,0.8,0.8,0.2,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
case3_batch_20260618_104034,/home/nielsbroekhuizen/projects/my-vscode-project/outputs/case_study_3/runs/case3_batch_20260618_104034/batch_manifest.json,L0_grid_labels,L0: Grid + labels,gpt-5.5,3,3,0.0,1.0,grid_labels,Grid + labels,3,3,0,1.0,0.0,0.0,0.0,1.0,1.0,0.8,0.0,0.0,0.0,0.8,0.8,0.8889,0.0,0.0,0.0,0.8889,0.8889,0.8,0.0,0.0,0.0,0.8,0.8,0.2,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
case3_batch_20260618_104034,/home/nielsbroekhuizen/projects/my-vscode-project/outputs/case_study_3/runs/case3_batch_20260618_104034/batch_manifest.json,L1_path_only,L1: No annotations,gpt-5.5,3,3,1.0,2.0,path_only,No annotations,3,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
case3_batch_20260618_104034,/home/nielsbroekhuizen/projects/my-vscode-project/outputs/case_study_3/runs/case3_batch_20260618_104034/batch_manifest.json,L1_grid,L1: Grid,gpt-5.5,3,3,1.0,2.0,grid,Grid,3,3,0,1.0,0.0,0.0,0.0,1.0,1.0,0.8889,0.0,0.0,0.0,0.8889,0.8889,0.9412,0.0,0.0,0.0,0.9412,0.9412,0.8889,0.0,0.0,0.0,0.8889,0.8889,0.1111,0.0,0.0,0.0,0.1111,0.1111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
case3_batch_20260618_104034,/home/nielsbroekhuizen/projects/my-vscode-project/outputs/case_study_3/runs/case3_batch_20260618_104034/batch_manifest.json,L1_grid_labels,L1: Grid + labels,gpt-5.5,3,3,1.0,2.0,grid_labels,Grid + labels,3,3,0,1.0,0.0,0.0,0.0,1.0,1.0,0.8889,0.0,0.0,0.0,0.8889,0.8889,0.9412,0.0,0.0,0.0,0.9412,0.9412,0.8889,0.0,0.0,0.0,0.8889,0.8889,0.1111,0.0,0.0,0.0,0.1111,0.1111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
case3_batch_20260618_104034,/home/nielsbroekhuizen/projects/my-vscode-project/outputs/case_study_3/runs/case3_batch_20260618_104034/batch_manifest.json,L2_path_only,L2: No annotations,gpt-5.5,3,3,2.0,4.0,path_only,No annotations,3,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
case3_batch_20260618_104034,/home/nielsbroekhuizen/projects/my-vscode-project/outputs/case_study_3/runs/case3_batch_20260618_104034/batch_manifest.json,L2_grid,L2: Grid,gpt-5.5,3,3,2.0,4.0,grid,Grid,3,3,0,1.0,0.0,0.0,0.0,1.0,1.0,0.8431,0.0008,0.0012,0.0283,0.8235,0.8824,0.9146,0.0003,0.0004,0.0173,0.9032,0.9375,0.8431,0.0008,0.0012,0.0283,0.8235,0.8824,0.1569,0.0008,0.0012,0.0283,0.1176,0.1765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
case3_batch_20260618_104034,/home/nielsbroekhuizen/projects/my-vscode-project/outputs/case_study_3/runs/case3_batch_20260618_104034/batch_manifest.json,L2_grid_labels,L2: Grid + labels,gpt-5.5,3,3,2.0,4.0,grid_labels,Grid + labels,3,3,0,0.6074,0.0742,0.1113,0.2724,0.2222,0.8,0.3529,0.0277,0.0415,0.1664,0.1176,0.4706,0.4463,0.0428,0.0642,0.2069,0.1538,0.5926,0.3529,0.0277,0.0415,0.1664,0.1176,0.4706,0.6471,0.0277,0.0415,0.1664,0.5294,0.8824,0.3926,0.0742,0.1113,0.2724,0.2,0.7778,0.0,0.0,0.0,0.0
case3_batch_20260618_112624,/home/nielsbroekhuizen/projects/my-vscode-project/outputs/case_study_3/runs/case3_batch_20260618_112624/batch_manifest.json,L0_path_only,L0: No annotations,gpt-5.5,3,3,0.0,1.0,path_only,No annotations,3,3,0,0.8194,0.0027,0.0041,0.052,0.75,0.875,0.625,0.0417,0.0625,0.2042,0.375,0.875,0.6964,0.0236,0.0354,0.1536,0.5,0.875,0.625,0.0417,0.0625,0.2042,0.375,0.875,0.375,0.0417,0.0625,0.2042,0.125,0.625,0.1806,0.0027,0.0041,0.052,0.125,0.25,0.0,0.0,0.0,0.0
