batch_id,run_id,variant,variant_label,grid_level,subdivision,visual_condition,visual_condition_label,turn_count,turn_difficulty,turn_difficulty_label,model,status,metric,value
case3_batch_20260618_104034,case3_batch_20260618_104034_run_001,L0_path_only,L0: No annotations,0.0,1.0,path_only,No annotations,1,easy,Easy (1 turn),gpt-5.5,completed,precision,0.5
case3_batch_20260618_104034,case3_batch_20260618_104034_run_002,L0_path_only,L0: No annotations,0.0,1.0,path_only,No annotations,1,easy,Easy (1 turn),gpt-5.5,completed,precision,0.3333
case3_batch_20260618_104034,case3_batch_20260618_104034_run_003,L0_path_only,L0: No annotations,0.0,1.0,path_only,No annotations,1,easy,Easy (1 turn),gpt-5.5,completed,precision,0.5
case3_batch_20260618_112624,case3_batch_20260618_112624_run_001,L0_path_only,L0: No annotations,0.0,1.0,path_only,No annotations,3,hard,Hard (3 turns),gpt-5.5,completed,precision,0.75
case3_batch_20260618_112624,case3_batch_20260618_112624_run_002,L0_path_only,L0: No annotations,0.0,1.0,path_only,No annotations,3,hard,Hard (3 turns),gpt-5.5,completed,precision,0.875
case3_batch_20260618_112624,case3_batch_20260618_112624_run_003,L0_path_only,L0: No annotations,0.0,1.0,path_only,No annotations,3,hard,Hard (3 turns),gpt-5.5,completed,precision,0.8333
case3_batch_20260618_123946,case3_batch_20260618_123946_run_001,L0_path_only,L0: No annotations,0.0,1.0,path_only,No annotations,4,very_hard,Very hard (>3 turns),gpt-5.5,completed,precision,0.7143
case3_batch_20260618_123946,case3_batch_20260618_123946_run_002,L0_path_only,L0: No annotations,0.0,1.0,path_only,No annotations,4,very_hard,Very hard (>3 turns),gpt-5.5,completed,precision,0.0357
case3_batch_20260618_123946,case3_batch_20260618_123946_run_003,L0_path_only,L0: No annotations,0.0,1.0,path_only,No annotations,4,very_hard,Very hard (>3 turns),gpt-5.5,completed,precision,0.6667
case3_batch_20260618_134814,case3_batch_20260618_134814_run_001,L0_path_only,L0: No annotations,0.0,1.0,path_only,No annotations,2,medium,Medium (2 turns),gpt-5.5,completed,precision,0.1
