batch_id,run_id,run_dir,source,variant,variant_label,model,gt_tile_set,gt_tile_sequence,n_path_objects,status,cell_width,cell_height,effective_cols,effective_rows,grid_level,subdivision,visual_condition,visual_condition_label,turn_count,turn_difficulty,turn_difficulty_label,turn_tile_sequence_l0,turn_coordinate_system,predicted_tile_sequence,predicted_tile_set,true_positive_tiles,false_positive_tiles,false_negative_tiles,true_positive_count,false_positive_count,false_negative_count,predicted_count,gt_count,precision,recall,f1,tile_accuracy,missed_tile_rate,extra_tile_rate,exact_match,parsing_error
case3_batch_20260618_104034,case3_batch_20260618_104034_run_001,/home/nielsbroekhuizen/projects/my-vscode-project/outputs/case_study_3/runs/case3_batch_20260618_104034/run_001,/home/nielsbroekhuizen/projects/my-vscode-project/outputs/case_study_3/runs/case3_batch_20260618_104034/run_001/run_manifest.json,L0_path_only,L0: No annotations,gpt-5.5,"['(0,3)', '(1,3)', '(2,1)', '(2,2)', '(2,3)']","['(0,3)', '(1,3)', '(2,3)', '(2,2)', '(2,1)']",1,completed,1920.0,1200.0,4,6,0.0,1.0,path_only,No annotations,1,easy,Easy (1 turn),"['(0,3)', '(1,3)', '(2,3)', '(2,2)', '(2,1)']",original SEM acquisition-tile grid; turns counted as horizontal/vertical axis changes between consecutive L0 tiles,"['(0,2)', '(1,2)', '(2,2)', '(2,1)']","['(0,2)', '(1,2)', '(2,1)', '(2,2)']","['(2,1)', '(2,2)']","['(0,2)', '(1,2)']","['(0,3)', '(1,3)', '(2,3)']",2,2,3,4,5,0.5,0.4,0.4444,0.4,0.6,0.5,0.0,
case3_batch_20260618_104034,case3_batch_20260618_104034_run_002,/home/nielsbroekhuizen/projects/my-vscode-project/outputs/case_study_3/runs/case3_batch_20260618_104034/run_002,/home/nielsbroekhuizen/projects/my-vscode-project/outputs/case_study_3/runs/case3_batch_20260618_104034/run_002/run_manifest.json,L0_path_only,L0: No annotations,gpt-5.5,"['(0,3)', '(1,3)', '(2,1)', '(2,2)', '(2,3)']","['(0,3)', '(1,3)', '(2,3)', '(2,2)', '(2,1)']",1,completed,1920.0,1200.0,4,6,0.0,1.0,path_only,No annotations,1,easy,Easy (1 turn),"['(0,3)', '(1,3)', '(2,3)', '(2,2)', '(2,1)']",original SEM acquisition-tile grid; turns counted as horizontal/vertical axis changes between consecutive L0 tiles,"['(0,1)', '(1,1)', '(2,1)']","['(0,1)', '(1,1)', '(2,1)']","['(2,1)']","['(0,1)', '(1,1)']","['(0,3)', '(1,3)', '(2,2)', '(2,3)']",1,2,4,3,5,0.3333,0.2,0.25,0.2,0.8,0.6667,0.0,
case3_batch_20260618_104034,case3_batch_20260618_104034_run_003,/home/nielsbroekhuizen/projects/my-vscode-project/outputs/case_study_3/runs/case3_batch_20260618_104034/run_003,/home/nielsbroekhuizen/projects/my-vscode-project/outputs/case_study_3/runs/case3_batch_20260618_104034/run_003/run_manifest.json,L0_path_only,L0: No annotations,gpt-5.5,"['(0,3)', '(1,3)', '(2,1)', '(2,2)', '(2,3)']","['(0,3)', '(1,3)', '(2,3)', '(2,2)', '(2,1)']",1,completed,1920.0,1200.0,4,6,0.0,1.0,path_only,No annotations,1,easy,Easy (1 turn),"['(0,3)', '(1,3)', '(2,3)', '(2,2)', '(2,1)']",original SEM acquisition-tile grid; turns counted as horizontal/vertical axis changes between consecutive L0 tiles,"['(0,2)', '(1,2)', '(2,2)', '(2,1)']","['(0,2)', '(1,2)', '(2,1)', '(2,2)']","['(2,1)', '(2,2)']","['(0,2)', '(1,2)']","['(0,3)', '(1,3)', '(2,3)']",2,2,3,4,5,0.5,0.4,0.4444,0.4,0.6,0.5,0.0,
case3_batch_20260618_112624,case3_batch_20260618_112624_run_001,/home/nielsbroekhuizen/projects/my-vscode-project/outputs/case_study_3/runs/case3_batch_20260618_112624/run_001,/home/nielsbroekhuizen/projects/my-vscode-project/outputs/case_study_3/runs/case3_batch_20260618_112624/run_001/run_manifest.json,L0_path_only,L0: No annotations,gpt-5.5,"['(0,1)', '(0,2)', '(0,3)', '(1,1)', '(1,2)', '(1,3)', '(1,4)', '(1,5)']","['(1,5)', '(1,4)', '(1,3)', '(0,3)', '(0,2)', '(1,2)', '(0,1)', '(1,1)']",1,completed,1920.0,1200.0,4,6,0.0,1.0,path_only,No annotations,3,hard,Hard (3 turns),"['(1,5)', '(1,4)', '(1,3)', '(0,3)', '(0,2)', '(1,2)', '(0,1)', '(1,1)']",original SEM acquisition-tile grid; turns counted as horizontal/vertical axis changes between consecutive L0 tiles,"['(0,0)', '(0,1)', '(1,1)', '(1,2)']","['(0,0)', '(0,1)', '(1,1)', '(1,2)']","['(0,1)', '(1,1)', '(1,2)']","['(0,0)']","['(0,2)', '(0,3)', '(1,3)', '(1,4)', '(1,5)']",3,1,5,4,8,0.75,0.375,0.5,0.375,0.625,0.25,0.0,
case3_batch_20260618_112624,case3_batch_20260618_112624_run_002,/home/nielsbroekhuizen/projects/my-vscode-project/outputs/case_study_3/runs/case3_batch_20260618_112624/run_002,/home/nielsbroekhuizen/projects/my-vscode-project/outputs/case_study_3/runs/case3_batch_20260618_112624/run_002/run_manifest.json,L0_path_only,L0: No annotations,gpt-5.5,"['(0,1)', '(0,2)', '(0,3)', '(1,1)', '(1,2)', '(1,3)', '(1,4)', '(1,5)']","['(1,5)', '(1,4)', '(1,3)', '(0,3)', '(0,2)', '(1,2)', '(0,1)', '(1,1)']",1,completed,1920.0,1200.0,4,6,0.0,1.0,path_only,No annotations,3,hard,Hard (3 turns),"['(1,5)', '(1,4)', '(1,3)', '(0,3)', '(0,2)', '(1,2)', '(0,1)', '(1,1)']",original SEM acquisition-tile grid; turns counted as horizontal/vertical axis changes between consecutive L0 tiles,"['(0,1)', '(1,1)', '(1,2)', '(0,2)', '(0,3)', '(1,3)', '(2,3)', '(1,4)']","['(0,1)', '(0,2)', '(0,3)', '(1,1)', '(1,2)', '(1,3)', '(1,4)', '(2,3)']","['(0,1)', '(0,2)', '(0,3)', '(1,1)', '(1,2)', '(1,3)', '(1,4)']","['(2,3)']","['(1,5)']",7,1,1,8,8,0.875,0.875,0.875,0.875,0.125,0.125,0.0,
case3_batch_20260618_112624,case3_batch_20260618_112624_run_003,/home/nielsbroekhuizen/projects/my-vscode-project/outputs/case_study_3/runs/case3_batch_20260618_112624/run_003,/home/nielsbroekhuizen/projects/my-vscode-project/outputs/case_study_3/runs/case3_batch_20260618_112624/run_003/run_manifest.json,L0_path_only,L0: No annotations,gpt-5.5,"['(0,1)', '(0,2)', '(0,3)', '(1,1)', '(1,2)', '(1,3)', '(1,4)', '(1,5)']","['(1,5)', '(1,4)', '(1,3)', '(0,3)', '(0,2)', '(1,2)', '(0,1)', '(1,1)']",1,completed,1920.0,1200.0,4,6,0.0,1.0,path_only,No annotations,3,hard,Hard (3 turns),"['(1,5)', '(1,4)', '(1,3)', '(0,3)', '(0,2)', '(1,2)', '(0,1)', '(1,1)']",original SEM acquisition-tile grid; turns counted as horizontal/vertical axis changes between consecutive L0 tiles,"['(1,1)', '(0,1)', '(0,2)', '(1,2)', '(2,2)', '(1,3)']","['(0,1)', '(0,2)', '(1,1)', '(1,2)', '(1,3)', '(2,2)']","['(0,1)', '(0,2)', '(1,1)', '(1,2)', '(1,3)']","['(2,2)']","['(0,3)', '(1,4)', '(1,5)']",5,1,3,6,8,0.8333,0.625,0.7143,0.625,0.375,0.1667,0.0,
case3_batch_20260618_123946,case3_batch_20260618_123946_run_001,/home/nielsbroekhuizen/projects/my-vscode-project/outputs/case_study_3/runs/case3_batch_20260618_123946/run_001,/home/nielsbroekhuizen/projects/my-vscode-project/outputs/case_study_3/runs/case3_batch_20260618_123946/run_001/run_manifest.json,L0_path_only,L0: No annotations,gpt-5.5,"['(0,1)', '(1,1)', '(1,2)', '(1,3)', '(1,5)', '(2,3)', '(2,4)', '(2,5)']","['(0,1)', '(1,1)', '(1,2)', '(1,3)', '(2,3)', '(2,4)', '(2,5)', '(1,5)']",1,completed,1920.0,1200.0,4,6,0.0,1.0,path_only,No annotations,4,very_hard,Very hard (>3 turns),"['(0,1)', '(1,1)', '(1,2)', '(1,3)', '(2,3)', '(2,4)', '(2,5)', '(1,5)']",original SEM acquisition-tile grid; turns counted as horizontal/vertical axis changes between consecutive L0 tiles,"['(0,1)', '(1,1)', '(1,2)', '(2,2)', '(2,3)', '(2,4)', '(1,4)']","['(0,1)', '(1,1)', '(1,2)', '(1,4)', '(2,2)', '(2,3)', '(2,4)']","['(0,1)', '(1,1)', '(1,2)', '(2,3)', '(2,4)']","['(1,4)', '(2,2)']","['(1,3)', '(1,5)', '(2,5)']",5,2,3,7,8,0.7143,0.625,0.6667,0.625,0.375,0.2857,0.0,
case3_batch_20260618_123946,case3_batch_20260618_123946_run_002,/home/nielsbroekhuizen/projects/my-vscode-project/outputs/case_study_3/runs/case3_batch_20260618_123946/run_002,/home/nielsbroekhuizen/projects/my-vscode-project/outputs/case_study_3/runs/case3_batch_20260618_123946/run_002/run_manifest.json,L0_path_only,L0: No annotations,gpt-5.5,"['(0,1)', '(1,1)', '(1,2)', '(1,3)', '(1,5)', '(2,3)', '(2,4)', '(2,5)']","['(0,1)', '(1,1)', '(1,2)', '(1,3)', '(2,3)', '(2,4)', '(2,5)', '(1,5)']",1,completed,1920.0,1200.0,4,6,0.0,1.0,path_only,No annotations,4,very_hard,Very hard (>3 turns),"['(0,1)', '(1,1)', '(1,2)', '(1,3)', '(2,3)', '(2,4)', '(2,5)', '(1,5)']",original SEM acquisition-tile grid; turns counted as horizontal/vertical axis changes between consecutive L0 tiles,"['(1,4)', '(2,4)', '(3,4)', '(4,4)', '(5,4)', '(6,4)', '(7,4)', '(7,5)', '(6,5)', '(6,6)', '(6,7)', '(7,7)', '(8,7)', '(9,7)', '(10,7)', '(10,8)', '(11,8)', '(11,9)', '(11,10)', '(11,11)', '(11,12)', '(11,13)', '(11,14)', '(10,14)', '(9,14)', '(8,14)', '(7,14)', '(6,14)']","['(1,4)', '(10,14)', '(10,7)', '(10,8)', '(11,10)', '(11,11)', '(11,12)', '(11,13)', '(11,14)', '(11,8)', '(11,9)', '(2,4)', '(3,4)', '(4,4)', '(5,4)', '(6,14)', '(6,4)', '(6,5)', '(6,6)', '(6,7)', '(7,14)', '(7,4)', '(7,5)', '(7,7)', '(8,14)', '(8,7)', '(9,14)', '(9,7)']","['(2,4)']","['(1,4)', '(10,14)', '(10,7)', '(10,8)', '(11,10)', '(11,11)', '(11,12)', '(11,13)', '(11,14)', '(11,8)', '(11,9)', '(3,4)', '(4,4)', '(5,4)', '(6,14)', '(6,4)', '(6,5)', '(6,6)', '(6,7)', '(7,14)', '(7,4)', '(7,5)', '(7,7)', '(8,14)', '(8,7)', '(9,14)', '(9,7)']","['(0,1)', '(1,1)', '(1,2)', '(1,3)', '(1,5)', '(2,3)', '(2,5)']",1,27,7,28,8,0.0357,0.125,0.0556,0.125,0.875,0.9643,0.0,
case3_batch_20260618_123946,case3_batch_20260618_123946_run_003,/home/nielsbroekhuizen/projects/my-vscode-project/outputs/case_study_3/runs/case3_batch_20260618_123946/run_003,/home/nielsbroekhuizen/projects/my-vscode-project/outputs/case_study_3/runs/case3_batch_20260618_123946/run_003/run_manifest.json,L0_path_only,L0: No annotations,gpt-5.5,"['(0,1)', '(1,1)', '(1,2)', '(1,3)', '(1,5)', '(2,3)', '(2,4)', '(2,5)']","['(0,1)', '(1,1)', '(1,2)', '(1,3)', '(2,3)', '(2,4)', '(2,5)', '(1,5)']",1,completed,1920.0,1200.0,4,6,0.0,1.0,path_only,No annotations,4,very_hard,Very hard (>3 turns),"['(0,1)', '(1,1)', '(1,2)', '(1,3)', '(2,3)', '(2,4)', '(2,5)', '(1,5)']",original SEM acquisition-tile grid; turns counted as horizontal/vertical axis changes between consecutive L0 tiles,"['(0,0)', '(0,1)', '(1,1)']","['(0,0)', '(0,1)', '(1,1)']","['(0,1)', '(1,1)']","['(0,0)']","['(1,2)', '(1,3)', '(1,5)', '(2,3)', '(2,4)', '(2,5)']",2,1,6,3,8,0.6667,0.25,0.3636,0.25,0.75,0.3333,0.0,
case3_batch_20260618_134814,case3_batch_20260618_134814_run_001,/home/nielsbroekhuizen/projects/my-vscode-project/outputs/case_study_3/runs/case3_batch_20260618_134814/run_001,/home/nielsbroekhuizen/projects/my-vscode-project/outputs/case_study_3/runs/case3_batch_20260618_134814/run_001/run_manifest.json,L0_path_only,L0: No annotations,gpt-5.5,"['(0,4)', '(1,4)', '(2,2)', '(2,3)', '(2,4)', '(3,2)']","['(0,4)', '(1,4)', '(2,4)', '(2,3)', '(2,2)', '(3,2)']",1,completed,1920.0,1200.0,4,6,0.0,1.0,path_only,No annotations,2,medium,Medium (2 turns),"['(0,4)', '(1,4)', '(2,4)', '(2,3)', '(2,2)', '(3,2)']",original SEM acquisition-tile grid; turns counted as horizontal/vertical axis changes between consecutive L0 tiles,"['(0,1)', '(1,1)', '(0,2)', '(1,2)', '(2,1)', '(2,2)', '(1,0)', '(2,0)', '(3,0)', '(3,1)']","['(0,1)', '(0,2)', '(1,0)', '(1,1)', '(1,2)', '(2,0)', '(2,1)', '(2,2)', '(3,0)', '(3,1)']","['(2,2)']","['(0,1)', '(0,2)', '(1,0)', '(1,1)', '(1,2)', '(2,0)', '(2,1)', '(3,0)', '(3,1)']","['(0,4)', '(1,4)', '(2,3)', '(2,4)', '(3,2)']",1,9,5,10,6,0.1,0.1667,0.125,0.1667,0.8333,0.9,0.0,
