variant,variant_label,turn_difficulty,turn_difficulty_label,grid_level,subdivision,visual_condition,visual_condition_label,n_runs,n_rows,mean_turn_count,mean_precision,std_precision,sample_std_precision,min_precision,max_precision,mean_recall,std_recall,sample_std_recall,min_recall,max_recall,mean_f1,std_f1,sample_std_f1,min_f1,max_f1,mean_tile_accuracy,std_tile_accuracy,sample_std_tile_accuracy,min_tile_accuracy,max_tile_accuracy,mean_exact_match,std_exact_match,sample_std_exact_match,min_exact_match,max_exact_match,mean_missed_tile_rate,std_missed_tile_rate,sample_std_missed_tile_rate,min_missed_tile_rate,max_missed_tile_rate,mean_extra_tile_rate,std_extra_tile_rate,sample_std_extra_tile_rate,min_extra_tile_rate,max_extra_tile_rate,n_batches_for_inner_batch_std,mean_inner_batch_std_precision,mean_inner_batch_std_recall,mean_inner_batch_std_f1,mean_inner_batch_std_tile_accuracy,mean_inner_batch_std_exact_match,mean_inner_batch_std_missed_tile_rate,mean_inner_batch_std_extra_tile_rate
L0_path_only,L0: No annotations,easy,Easy (1 turn),0.0,1.0,path_only,No annotations,15,15,1.0,0.23554666666666665,0.2172095543222924,0.22483324889687425,0.0,0.6667,0.16888666666666668,0.21435003107586015,0.22187336113412165,0.0,0.8,0.18949333333333335,0.2079792216117327,0.21527894683963167,0.0,0.7273,0.16888666666666668,0.21435003107586015,0.22187336113412165,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.8311133333333333,0.21435003107586018,0.2218733611341217,0.2,1.0,0.7644533333333335,0.2172095543222924,0.22483324889687425,0.3333,1.0,5,0.05971752469380789,0.07542472332656507,0.06557236884203249,0.07542472332656507,0.0,0.0754247233265651,0.0597175246938079
L0_path_only,L0: No annotations,medium,Medium (2 turns),0.0,1.0,path_only,No annotations,12,12,2.0,0.2125,0.3156507827753111,0.329686490196644,0.0,0.75,0.17778333333333332,0.25104694392793464,0.26220998120289823,0.0,0.6,0.19224166666666664,0.27968145707314157,0.29211775476939966,0.0,0.6667,0.17778333333333332,0.25104694392793464,0.26220998120289823,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.8222166666666667,0.25104694392793464,0.26220998120289823,0.4,1.0,0.7875,0.31565078277531117,0.329686490196644,0.25,1.0,4,0.020412414523193152,0.019645783403966242,0.018985096494063148,0.019645783403966242,0.0,0.019645783403966256,0.020412414523193145
L0_path_only,L0: No annotations,hard,Hard (3 turns),0.0,1.0,path_only,No annotations,15,15,3.0,0.33658,0.34146075850674257,0.3534454639686298,0.0,0.875,0.25166666666666665,0.28874248426967275,0.2988768658701789,0.0,0.875,0.28420666666666666,0.30764500638813486,0.3184428351181656,0.0,0.875,0.25166666666666665,0.28874248426967275,0.2988768658701789,0.0,0.875,0.0,0.0,0.0,0.0,0.0,0.7483333333333334,0.28874248426967275,0.2988768658701789,0.125,1.0,0.66342,0.3414607585067426,0.3534454639686298,0.125,1.0,5,0.05662825468454049,0.08560825852153432,0.07674121030041899,0.08560825852153432,0.0,0.08560825852153432,0.05662825468454051
L0_path_only,L0: No annotations,very_hard,Very hard (>3 turns),0.0,1.0,path_only,No annotations,17,17,4.176470588235294,0.22246470588235295,0.29142924061208586,0.3003983853592935,0.0,0.7143,0.14837058823529412,0.20225131647853625,0.20847588519030769,0.0,0.625,0.17143529411764705,0.23173498032724027,0.23886695025991056,0.0,0.6667,0.14837058823529412,0.20225131647853625,0.20847588519030769,0.0,0.625,0.0,0.0,0.0,0.0,0.0,0.8516294117647059,0.20225131647853628,0.20847588519030769,0.375,1.0,0.777535294117647,0.29142924061208586,0.3003983853592935,0.2857,1.0,6,0.07614330099929613,0.05252493307980042,0.05549685708626446,0.05252493307980042,0.0,0.05252493307980042,0.07614330099929614
L1_path_only,L1: No annotations,easy,Easy (1 turn),1.0,2.0,path_only,No annotations,15,15,1.0,0.05538,0.07820343726461132,0.08094824801774808,0.0,0.2,0.031760000000000004,0.04102182833565564,0.042461626373535365,0.0,0.1,0.04,0.05332500351617428,0.055196622567482714,0.0,0.1333,0.031760000000000004,0.04102182833565564,0.042461626373535365,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.96824,0.04102182833565563,0.04246162637353536,0.9,1.0,0.94462,0.0782034372646113,0.08094824801774805,0.8,1.0,5,5.551115123125783e-18,2.7755575615628915e-18,0.0,2.7755575615628915e-18,0.0,2.2204460492503132e-17,4.4408920985006264e-17
L1_path_only,L1: No annotations,medium,Medium (2 turns),1.0,2.0,path_only,No annotations,12,12,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L1_path_only,L1: No annotations,hard,Hard (3 turns),1.0,2.0,path_only,No annotations,15,15,3.0,0.42912,0.33265497681531836,0.34433061396612086,0.0,1.0,0.30438666666666664,0.29029435375532575,0.3004832033971442,0.0,0.84,0.35242000000000007,0.31082925044682225,0.32173884085432664,0.0,0.913,0.30438666666666664,0.29029435375532575,0.3004832033971442,0.0,0.84,0.0,0.0,0.0,0.0,0.0,0.6956133333333334,0.29029435375532575,0.3004832033971442,0.16,1.0,0.57088,0.33265497681531836,0.34433061396612086,0.0,1.0,5,0.016682057606661298,0.00906039488960363,0.01020128419361827,0.00906039488960363,0.0,0.009060394889603637,0.01668205760666129
L1_path_only,L1: No annotations,very_hard,Very hard (>3 turns),1.0,2.0,path_only,No annotations,17,17,4.176470588235294,0.3705235294117647,0.3766366145854208,0.38822813610268475,0.0,0.973,0.32132941176470586,0.36995787958139215,0.3813438536359048,0.0,1.0,0.34035294117647064,0.3731226326048015,0.3846060063845322,0.0,0.9863,0.32132941176470586,0.36995787958139215,0.3813438536359048,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6786705882352941,0.36995787958139215,0.3813438536359048,0.0,1.0,0.6294764705882352,0.3766366145854208,0.38822813610268475,0.027,1.0,6,0.004509769915567543,0.005727564927611034,0.005036171630450863,0.005727564927611034,0.0,0.005727564927611034,0.0045097699155675535
L2_path_only,L2: No annotations,easy,Easy (1 turn),2.0,4.0,path_only,No annotations,15,15,1.0,0.028893333333333337,0.03954357034405917,0.04093148398180038,0.0,0.1,0.0164,0.02138373213449888,0.022134265614330066,0.0,0.0526,0.02086666666666667,0.027690230928775025,0.028662112041276142,0.0,0.069,0.0164,0.02138373213449888,0.022134265614330066,0.0,0.0526,0.0,0.0,0.0,0.0,0.0,0.9835999999999998,0.021383732134498873,0.022134265614330056,0.9474,1.0,0.9711066666666665,0.039543570344059156,0.04093148398180037,0.9,1.0,5,0.0007825315045131155,0.0,0.00023570226039551539,0.0,0.0,0.0,0.0007825315045131207
L2_path_only,L2: No annotations,medium,Medium (2 turns),2.0,4.0,path_only,No annotations,12,12,2.0,0.015149999999999999,0.0502468655738843,0.052481139469336975,0.0,0.1818,0.013891666666666665,0.04607344604602042,0.0481221449369553,0.0,0.1667,0.014491666666666667,0.04806342092023366,0.050200605906037955,0.0,0.1739,0.013891666666666665,0.04607344604602042,0.0481221449369553,0.0,0.1667,0.0,0.0,0.0,0.0,0.0,0.9861083333333333,0.04607344604602042,0.0481221449369553,0.8333,1.0,0.9848500000000001,0.050246865573884296,0.05248113946933697,0.8182,1.0,4,0.02142533546995239,0.019645783403966242,0.0204943115413901,0.019645783403966242,0.0,0.019645783403966242,0.021425335469952386
L2_path_only,L2: No annotations,hard,Hard (3 turns),2.0,4.0,path_only,No annotations,15,15,3.0,0.15222666666666665,0.24965728633913775,0.25841984241226706,0.0,1.0,0.11225333333333334,0.20822111281573302,0.21552932802311436,0.0,0.84,0.12837333333333334,0.22690928721015857,0.23487342629797944,0.0,0.913,0.11225333333333334,0.20822111281573302,0.21552932802311436,0.0,0.84,0.0,0.0,0.0,0.0,0.0,0.8877466666666667,0.20822111281573302,0.21552932802311436,0.16,1.0,0.8477733333333333,0.24965728633913775,0.25841984241226706,0.0,1.0,5,0.10371594129538027,0.0839382889720511,0.0925511898200092,0.0839382889720511,0.0,0.08393828897205115,0.10371594129538028
L2_path_only,L2: No annotations,very_hard,Very hard (>3 turns),2.0,4.0,path_only,No annotations,17,17,4.176470588235294,0.22247647058823528,0.33805968239074513,0.3484639445649502,0.0,1.0,0.19321176470588233,0.3284868801791435,0.33859652590205525,0.0,0.9565,0.20497647058823532,0.33365943455849734,0.343928272917137,0.0,0.9778,0.19321176470588233,0.3284868801791435,0.33859652590205525,0.0,0.9565,0.0,0.0,0.0,0.0,0.0,0.8067882352941176,0.3284868801791435,0.3385965259020553,0.0435,1.0,0.7775235294117647,0.33805968239074513,0.3484639445649502,0.0,1.0,6,0.14069751724985788,0.1378447708867109,0.1394409798550329,0.1378447708867109,0.0,0.1378447708867109,0.1406975172498579
L0_grid,L0: Grid,easy,Easy (1 turn),0.0,1.0,grid,Grid,15,15,1.0,1.0,0.0,0.0,1.0,1.0,0.8275933333333334,0.12221563711553263,0.1265052029797683,0.5556,1.0,0.9005466666666667,0.07677878931637881,0.07947359729285357,0.7143,1.0,0.8275933333333334,0.12221563711553263,0.1265052029797683,0.5556,1.0,0.2,0.4000000000000001,0.4140393356054126,0.0,1.0,0.17240666666666668,0.12221563711553261,0.1265052029797683,0.0,0.4444,0.0,0.0,0.0,0.0,0.0,5,0.0,0.010474608451976746,0.008079873486358283,0.010474608451976746,0.0,0.010474608451976734,0.0
